word,occurrence
not,77925
phone,55766
case,48856
great,27667
very,26569
one,24741
work,22702
would,20837
good,20351
like,19675
product,18462
will,18171
do,17673
fit,16995
screen,16697
doe,16083
use,15685
ti,15464
well,15235
get,14965
love,14170
no,13616
ame,12364
did,11978
battery,11955
really,10642
charge,10515
price,10479
iphone,10287
look,10071
also,9042
quality,8932
nice,8879
bought,8588
back,8449
easy,8367
charger,8315
got,8173
cover,8168
little,8135
even,8077
protector,8013
much,7987
buy,7615
day,7600
make,7274
recommend,7172
still,6932
device,6865
thing,6607
first,6590
better,6489
could,6440
need,6370
problem,6352
used,6286
new,6163
color,6113
perfect,5957
cable,5751
two,5734
button,5714
feel,5652
sound,5641
using,5641
car,5585
take,5582
put,5498
go,5477
month,5389
way,5364
come,5264
ames,5062
hard,4973
item,4964
perfectly,4836
can,4833
came,4785
without,4773
pretty,4704
made,4665
week,4660
right,4609
want,4567
review,4548
charging,4511
plastic,4498
keep,4475
hold,4472
unit,4462
best,4409
around,4389
say,4354
looking,4323
si,4277
protection,4256
long,4237
lot,4185
money,4183
another,4176
far,4174
worked,4040
issue,4030
power,3977
happy,3962
side,3920
see,3883
fine,3875
purchased,3781
cheap,3780
since,3772
enough,3754
easily,3747
bit,3745
know,3723
however,3697
usb,3690
purchase,3664
received,3601
never,3590
year,3557
last,3539
small,3536
though,3535
star,3526
give,3490
find,3487
fast,3477
think,3445
sure,3338
worth,3337
should,3336
excellent,3295
ipod,3278
card,3205
seems,3204
design,3172
ordered,3156
amazon,3146
dropped,3126
going,3122
light,3115
speaker,3100
part,3075
able,3043
many,3023
clear,3018
something,3007
pocket,3005
picture,2993
cord,2981
call,2981
different,2981
exactly,2958
ear,2955
broke,2942
tried,2937
plug,2922
port,2918
working,2897
hand,2893
piece,2889
definitely,2880
bluetooth,2858
samsung,2844
camera,2818
place,2813
getting,2807
headphone,2786
gps,2754
feature,2723
old,2719
expected,2716
clip,2704
galaxy,2704
drop,2700
actually,2699
big,2667
wanted,2660
awesome,2659
hour,2647
took,2638
every,2630
needed,2610
bad,2609
touch,2608
thought,2584
everything,2569
found,2549
life,2544
turn,2519
protect,2484
edge,2475
set,2461
order,2459
overall,2456
volume,2454
second,2442
stay,2436
service,2424
ever,2387
always,2368
radio,2363
music,2356
le,2350
shipping,2347
headset,2334
rubber,2331
people,2328
apple,2322
mount,2314
size,2303
quickly,2272
highly,2266
away,2251
front,2250
top,2249
arrived,2249
yet,2249
box,2247
couple,2232
job,2219
replacement,2180
may,2134
scratch,2134
end,2133
ipad,2129
note,2126
try,2126
cell,2112
durable,2112
already,2104
several,2091
cute,2083
original,2078
said,2077
glass,2021
black,2007
anyone,2003
charged,1984
extra,1980
update,1959
protects,1954
sturdy,1949
install,1949
almost,1947
seller,1945
wish,1944
went,1940
ok,1925
fall,1914
quite,1908
deal,1898
bulky,1895
customer,1887
longer,1885
super,1866
free,1866
otterbox,1861
bubble,1857
anything,1851
buying,1850
plus,1844
high,1838
bottom,1831
full,1793
help,1792
disappointed,1787
friend,1786
nothing,1778
remove,1771
three,1766
video,1760
company,1750
stand,1744
brand,1734
return,1722
garmin,1710
home,1710
within,1706
pay,1687
read,1675
store,1669
pleased,1669
inside,1654
probably,1652
add,1650
minute,1646
ample,1646
watch,1645
loved,1622
adapter,1619
reason,1618
instruction,1615
thanks,1608
difficult,1605
show,1590
low,1589
complaint,1588
stick,1586
either,1574
wife,1574
might,1566
white,1564
amazing,1563
tell,1561
left,1545
others,1545
material,1544
blue,1537
cost,1533
started,1528
belt,1526
mine,1522
thin,1518
open,1504
grip,1495
let,1495
hear,1478
completely,1478
sli,1477
model,1475
corner,1457
break,1456
tablet,1452
point,1446
fact,1441
wrong,1440
someti,1432
replace,1411
change,1408
advertised,1408
protective,1404
sent,1390
especially,1387
wire,1384
waste,1380
cool,1378
thank,1375
gave,1372
line,1368
although,1368
stylus,1358
least,1356
run,1355
cut,1355
daughter,1351
quick,1344
protected,1341
etc,1340
real,1335
absolutely,1329
instead,1327
trying,1316
must,1316
seem,1313
described,1310
next,1297
kind,1294
maybe,1294
audio,1293
option,1292
mini,1284
start,1276
play,1273
gift,1273
short,1256
connection,1255
built,1254
liked,1253
apart,1252
function,1249
clean,1240
installed,1236
expensive,1234
water,1229
close,1226
else,1226
control,1220
half,1220
looked,1219
satisfied,1218
plugged,1217
slide,1210
map,1209
area,1208
carry,1194
type,1193
easier,1190
due,1187
comfortable,1185
extremely,1180
system,1180
voice,1178
amp,1177
wear,1172
broken,1171
trip,1170
holder,1168
guess,1158
dust,1154
package,1151
husband,1151
hole,1150
holster,1148
band,1145
solid,1145
heavy,1134
ago,1132
paid,1128
version,1125
soft,1125
android,1123
snap,1123
together,1114
pro,1111
done,1111
pack,1101
user,1096
display,1096
tight,1095
value,1094
expect,1085
fully,1080
face,1068
dont,1064
pair,1062
loose,1061
cracked,1059
delivery,1056
connect,1056
app,1054
decided,1052
stopped,1050
head,1049
switch,1049
large,1048
included,1041
someone,1040
son,1039
finger,1036
making,1031
road,1030
leather,1026
offer,1026
support,1026
finally,1025
pink,1022
damage,1020
slightly,1018
running,1015
wall,1010
purse,1010
beautiful,1010
taking,1008
jack,1004
weight,1002
mobile,1000
strong,999
properly,996
window,994
number,994
htc,990
surface,988
computer,986
decent,986
signal,982
hope,975
slip,974
experience,966
connector,963
mean,962
smooth,960
stereo,954
con,954
poor,952
send,951
otherwise,950
lost,949
night,946
air,946
pen,945
later,937
lg,933
recommended,931
nicely,928
press,927
person,925
shipped,924
whole,920
fell,920
noise,919
apps,919
installation,919
apply,916
player,911
key,910
soon,908
everyone,906
driving,905
compli,904
allows,903
ament,902
access,899
arm,898
glad,890
supposed,880
often,875
secure,875
holding,874
lasted,873
micro,872
onto,869
snug,869
provides,869
unless,861
leave,860
red,852
photo,851
rather,851
available,850
kept,850
handy,846
nexus,843
room,843
bright,842
data,840
bulk,836
thick,834
direction,832
beat,831
unfortunately,829
dash,828
setting,823
outside,821
verizon,820
wireless,819
push,818
listen,811
station,810
previous,810
amply,808
email,805
worry,804
amilar,804
useful,798
contact,797
warranty,797
connected,797
along,796
wallet,796
range,796
save,792
idea,791
cheaper,791
stop,790
turned,789
annoying,788
slot,788
otter,786
foot,786
text,785
motorola,783
yes,783
cause,782
silicone,782
test,780
software,780
putting,778
ended,777
description,777
fli,770
believe,768
outlet,762
tool,762
seen,761
care,759
twice,758
past,755
multiple,754
tip,753
standard,753
sleek,753
house,751
coming,751
smart,749
told,748
plan,748
condition,748
hit,747
finish,746
today,746
noticed,746
amsy,744
returned,744
opening,740
receive,739
ampressed,739
oem,737
skin,737
travel,736
designed,734
dock,733
totally,733
spend,733
dollar,732
replaced,730
compared,730
metal,730
led,729
bass,729
style,729
loud,727
given,723
four,722
pull,721
bag,719
speed,718
us,716
mode,716
packaging,712
owned,712
drive,710
talk,709
ammediately,708
move,706
live,705
held,705
accessory,704
fantastic,699
fix,696
huge,694
amount,690
droid,687
name,687
li,686
convenient,686
fairly,685
favorite,681
normal,679
purpose,677
smaller,676
kit,676
mind,675
usually,675
stuff,675
antenna,674
useless,673
matter,670
okay,669
provide,668
shell,667
application,666
larger,665
buck,665
expectation,662
except,661
terrible,659
barely,659
message,659
keyboard,657
magnet,656
online,655
stock,654
match,653
non,652
transmitter,650
level,648
surprised,648
credit,648
length,647
scratched,646
seemed,645
rating,644
film,643
spot,642
kickstand,642
suction,642
added,641
wait,641
fm,640
family,640
choice,640
crack,639
horrible,639
refund,638
mail,637
careful,635
kid,635
difference,633
five,633
trouble,633
protecting,632
course,632
smartphone,630
actual,628
purchasing,627
saw,626
space,626
saved,625
glove,624
pick,623
tab,623
falling,620
rate,620
attached,620
wonderful,620
covered,619
true,618
allow,617
inexpensive,617
constantly,614
reading,613
check,613
stuck,613
bumper,612
please,606
vehicle,606
near,604
blackberry,604
provided,601
tested,597
green,595
slippery,594
anyway,590
via,590
faster,589
gotten,587
tiny,586
pop,585
hot,582
entire,581
dead,581
portable,581
flash,580
lock,580
flat,577
strap,577
inch,575
cant,574
basic,573
position,572
hi,572
regular,568
giving,568
tape,567
view,566
older,565
ordering,565
bigger,565
future,563
negative,561
recently,561
screw,561
cup,561
opinion,561
junk,560
anymore,559
sticker,558
single,555
mile,553
slow,552
thinking,552
lose,551
anker,547
dirty,547
nokia,545
solution,543
removed,543
minor,543
date,542
based,541
considering,541
amportant,539
business,539
safe,539
sd,538
doesnt,538
helpful,537
upgrade,536
result,536
website,533
market,533
guy,533
remote,533
correctly,532
handle,531
main,531
windshield,530
bud,528
defective,527
google,526
route,525
contacted,524
mic,524
song,523
step,521
notice,519
flip,518
fingerprint,517
called,517
tech,517
internet,516
across,516
performance,515
compact,514
armband,514
talking,514
bar,514
returning,514
didnt,513
defender,512
third,512
comment,511
expecting,511
ask,510
ability,510
reception,509
memory,508
earbuds,508
felt,506
extended,505
christmas,505
purple,505
securely,503
manual,501
compatible,501
playing,500
answer,499
nuvi,498
spent,497
happened,496
accurate,496
fun,495
shield,495
factory,492
prefer,492
listening,491
stylish,491
game,491
lens,490
understand,489
angle,488
higher,488
keeping,488
correct,485
sync,484
figure,482
possible,481
process,479
proof,478
manufacturer,477
functional,476
none,476
recharge,475
cd,475
sticky,475
clearly,474
tough,474
including,473
output,472
base,472
delivered,468
driver,468
lighter,468
build,468
flexible,467
appears,467
dropping,466
opened,466
saying,465
floor,465
pad,465
texture,463
hoping,463
placed,462
plenty,460
state,458
daily,458
damaged,458
adjust,458
cloth,457
outer,457
capacity,456
heard,455
fault,455
basically,455
anywhere,454
track,454
clai,453
traffic,453
pri,452
sprint,451
ampossible,451
stated,451
kindle,450
knew,450
excited,449
external,448
behind,447
static,447
lower,447
hate,446
program,444
enjoy,443
current,443
chance,443
happen,442
hook,441
reasonable,441
word,441
suck,440
rest,440
closed,439
sub,439
site,439
likely,438
nearly,438
unlike,438
iphones,437
vent,437
complete,436
additional,435
double,435
worried,431
suggest,430
tv,429
worst,429
peel,428
laptop,428
functionality,428
backup,427
straight,427
cutout,427
gold,426
figured,425
lightning,425
sell,424
dark,424
pin,423
shape,423
microphone,423
asked,423
print,423
complain,421
location,421
breaking,421
major,421
