word,occurrence
not,559
phone,480
case,311
great,267
work,222
very,184
good,184
product,183
will,180
one,159
like,142
would,138
screen,133
ti,133
fit,132
well,128
love,125
do,124
use,122
no,119
doe,114
charge,112
ame,104
battery,98
get,96
did,87
really,83
charger,82
quality,82
easy,81
look,78
price,75
iphone,71
little,70
perfect,69
nice,65
also,61
much,59
back,58
protector,57
review,56
buy,55
even,55
make,55
take,54
two,54
charging,54
month,54
still,53
device,53
color,51
using,51
hold,50
got,49
better,49
bought,48
way,48
cable,47
day,47
worked,47
first,46
new,45
item,44
come,43
can,43
power,43
need,42
bluetooth,42
keep,42
recommend,42
could,42
sound,42
long,41
ames,41
problem,41
best,40
cover,40
used,40
star,39
far,39
lot,39
card,39
around,38
find,38
button,37
cheap,36
fast,36
fine,36
radio,36
go,36
put,36
clear,36
cord,36
pretty,35
money,35
say,35
know,35
excellent,35
port,34
si,34
week,34
perfectly,34
purchase,34
happy,34
side,33
received,33
year,33
thing,33
looking,33
give,33
awesome,32
without,32
feel,32
window,32
bit,32
speaker,32
small,31
since,31
exactly,31
charged,30
hard,30
glass,30
end,30
last,30
working,29
note,29
car,29
camera,29
hour,29
usb,28
right,28
light,28
issue,28
pocket,28
plastic,28
drop,28
never,28
sure,28
see,27
many,27
life,27
picture,26
every,26
made,26
call,26
easily,26
expected,25
app,25
size,25
wish,25
quickly,25
old,25
broke,24
already,24
service,24
always,24
couple,24
tried,24
gps,23
seems,23
able,23
came,23
bad,23
headphone,22
update,22
box,22
reason,22
should,22
sturdy,22
amazing,21
purchased,21
front,21
though,21
something,21
different,21
scratch,21
want,21
job,21
overall,21
another,21
needed,20
sent,20
samsung,20
ordered,20
protects,20
going,20
second,20
music,20
design,20
within,20
replace,20
dropped,20
tile,20
le,20
apps,19
company,19
protect,19
piece,19
range,19
several,19
tracker,19
high,19
install,19
protection,19
volume,19
plus,19
part,18
cell,18
galaxy,18
feature,18
apple,18
however,18
enough,18
water,18
ear,17
definitely,17
thought,17
getting,17
advertised,17
thin,17
unit,17
think,17
longer,17
cost,17
tell,17
stick,17
seller,17
edge,17
ok,17
ever,17
protective,17
replacement,17
worth,16
open,16
hand,16
place,16
amazon,16
watch,16
buying,16
full,16
honest,16
material,16
bright,16
touch,16
people,16
android,16
try,16
help,16
durable,16
mount,15
shipping,15
described,15
low,15
rubber,15
set,15
computer,15
bubble,15
instruction,15
thank,15
big,15
business,15
customer,15
arm,15
everything,15
pay,15
tablet,15
email,14
video,14
return,14
exchange,14
four,14
read,14
stay,14
trip,14
armband,14
inch,14
inside,14
cellphone,14
otterbox,14
may,14
strong,14
clip,14
setting,14
waste,14
especially,14
super,14
person,14
wrong,14
brand,14
fall,13
half,13
probably,13
magnet,13
trying,13
extra,13
daughter,13
left,13
strap,13
turn,13
cracked,13
plug,13
wire,13
free,13
took,13
bulky,13
highly,13
top,13
included,13
fully,12
blue,12
disappointed,12
tune,12
band,12
voice,12
quite,12
completely,12
grip,12
went,12
beautiful,12
comfortable,12
ample,12
running,12
installed,12
thanks,12
liked,12
play,12
others,12
arrived,12
wallet,12
key,12
away,12
location,12
ipad,12
model,12
pro,12
solar,12
lte,12
bumper,12
hear,12
surface,12
connection,11
otherwise,11
selfie,11
area,11
protected,11
either,11
us,11
lumia,11
headset,11
map,11
cool,11
available,11
start,11
discount,11
sli,11
name,11
rating,11
else,11
micro,11
next,11
stand,11
credit,11
guy,11
amp,11
store,11
slot,10
user,10
close,10
quick,10
night,10
wear,10
said,10
clean,10
bottom,10
lightweight,10
cute,10
run,10
dont,10
storage,10
face,10
apart,10
based,10
soon,10
purse,10
deal,10
black,10
finish,10
audio,10
corner,10
complaint,10
daily,10
sd,10
privacy,10
add,10
taking,10
yet,10
expect,10
original,10
direction,10
heavy,10
complete,9
someti,9
plan,9
snug,9
lasted,9
son,9
snap,9
foot,9
kind,9
let,9
almost,9
photo,9
slip,9
thick,9
solid,9
past,9
carry,9
someone,9
secure,9
line,9
broken,9
actually,9
experience,9
activity,9
handy,9
tiny,9
yes,9
nothing,9
gold,9
minute,9
started,9
fair,9
move,9
network,9
multiple,9
warranty,9
navigation,9
fact,9
order,9
sleep,9
looked,9
built,9
apply,9
loud,9
non,8
five,8
rather,8
gophone,8
extremely,8
red,8
show,8
wrist,8
holster,8
wanted,8
defective,8
capacity,8
packaging,8
bigger,8
kept,8
mine,8
belt,8
clai,8
talk,8
mode,8
idea,8
regular,8
although,8
save,8
ago,8
surprised,8
metal,8
pleased,8
game,8
loved,8
replaced,8
option,8
camping,8
expensive,8
stylus,8
leave,8
magnetic,8
wipe,8
decent,8
driving,8
cause,8
support,8
display,8
earphone,8
tab,8
real,8
value,8
useful,8
certain,8
guess,8
smartphone,8
air,7
delivery,7
adjust,7
program,7
absolutely,7
home,7
com,7
glad,7
adapter,7
holding,7
hope,7
found,7
con,7
fun,7
functionality,7
sticky,7
damage,7
pull,7
receive,7
google,7
rate,7
easier,7
push,7
crack,7
id,7
due,7
youtube,7
turned,7
waterproof,7
amilar,7
etc,7
blu,7
reliable,7
lost,7
number,7
cut,7
making,7
large,7
error,7
office,7
fingerprint,7
least,7
suggest,7
amportant,7
break,7
playing,7
breaking,7
li,7
finally,7
difference,7
onto,7
usually,7
anyone,7
fell,7
opinion,7
vehicle,7
send,7
build,7
wife,7
texting,7
noticed,7
underwater,7
unbiased,7
please,7
mini,7
road,7
satisfied,7
microsoft,7
room,7
saved,7
nicely,7
plugged,7
behind,7
vysk,7
nexus,6
actual,6
version,6
traveling,6
mic,6
brightness,6
test,6
system,6
barely,6
netflix,6
contacted,6
gave,6
proof,6
ton,6
stylish,6
standard,6
mobile,6
gift,6
tested,6
accidentally,6
block,6
mean,6
green,6
microphone,6
matter,6
might,6
