word,occurrence
not,38
phone,30
great,28
product,26
work,19
charger,17
case,16
would,15
will,13
easy,13
very,12
do,12
good,12
like,12
screen,11
little,11
one,11
fit,11
no,10
review,10
port,10
love,10
really,9
problem,9
charging,9
did,9
protector,9
charge,9
price,9
nice,9
doe,9
much,8
still,8
get,8
sound,8
color,7
well,7
take,7
battery,7
quality,7
service,7
speaker,7
perfect,7
using,6
bluetooth,6
ti,6
way,6
also,6
charged,6
back,6
customer,6
cable,6
ame,6
ear,5
expected,5
amazon,5
long,5
purchase,5
look,5
bought,5
device,5
got,5
best,5
another,5
perfectly,5
pocket,5
though,5
received,4
every,4
exchange,4
see,4
right,4
know,4
end,4
far,4
feel,4
size,4
included,4
si,4
cord,4
hour,4
clear,4
keep,4
find,4
last,4
fast,4
looking,4
left,4
power,4
money,4
month,4
wish,4
happy,3
thank,3
headphone,3
make,3
red,3
percent,3
hold,3
fine,3
honest,3
recommend,3
first,3
cut,3
please,3
never,3
discount,3
car,3
tablet,3
secure,3
second,3
surprised,3
sturdy,3
scratch,3
super,3
give,3
arm,3
better,3
piece,3
worked,3
use,3
used,3
try,3
ok,3
fair,3
past,3
vehicle,3
fall,3
light,3
buy,3
item,3
two,3
yes,3
offered,3
entire,3
note,3
worth,3
exactly,3
installed,3
even,3
camping,3
small,3
seat,2
old,2
excellent,2
front,2
full,2
photo,2
otherwise,2
multiple,2
music,2
foot,2
shipping,2
pair,2
since,2
need,2
mobiler,2
finally,2
protective,2
material,2
getting,2
ive,2
loud,2
install,2
read,2
rated,2
range,2
ipad,2
iphone,2
lot,2
kept,2
scratched,2
question,2
put,2
protecting,2
protection,2
provides,2
leave,2
least,2
protects,2
previously,2
recommended,2
replace,2
poorly,2
giving,2
glass,2
go,2
micro,2
play,2
say,2
pleasantly,2
guess,2
running,2
rubber,2
plug,2
making,2
helpful,2
hi,2
high,2
return,2
magnet,2
smart,2
order,2
ever,2
connected,2
usb,2
desk,2
tiny,2
connection,2
arrived,2
around,2
stop,2
ample,2
disclosure,2
connect,2
apply,2
button,2
buying,2
call,2
attached,2
sure,2
delivered,2
surface,2
defective,2
audio,2
buddibox,2
useful,2
day,2
broke,2
taking,2
