data_dir,infile,status,file_load_time_min
dataset/feature_files,review_body-bow-df_90-ngram1-112043-52-lda20.csv,success,0.01
dataset/feature_files,review_body-bow-df_90-ngram12-112043-56-lda20.csv,success,0.01
dataset/feature_files,review_body-tfidf-df_90-ngram11-112043-52-lda20.csv,success,0.01
dataset/feature_files,review_body-tfidf-df_90-ngram12-112043-56-lda20.csv,success,0.01
dataset/feature_files,review_body-tfidf-df_90-ngram13-112043-56-lda20.csv,success,0.01
dataset/feature_files,review_body-bow-df_80-ngram1-112043-20.csv,success,0.0
dataset/feature_files,review_body-bow-df_80-ngram12-112043-20.csv,success,0.0
dataset/feature_files,review_body-bow-df_80-ngram13-112043-20.csv,success,0.0
dataset/feature_files,review_body-bow-df_90-ngram1-112043-52.csv,success,0.01
dataset/feature_files,review_body-bow-df_90-ngram12-112043-56.csv,success,0.01
dataset/feature_files,review_body-bow-df_90-ngram13-112043-56-lda20.csv,success,0.01
dataset/feature_files,review_body-bow-df_90-ngram13-112043-56.csv,success,0.01
dataset/feature_files,review_body-tfidf-df_80-ngram11-112043-20.csv,success,0.0
dataset/feature_files,review_body-tfidf-df_80-ngram12-112043-20.csv,success,0.0
dataset/feature_files,review_body-tfidf-df_80-ngram13-112043-20.csv,success,0.0
dataset/feature_files,review_body-tfidf-df_90-ngram11-112043-52.csv,success,0.01
dataset/feature_files,review_body-tfidf-df_90-ngram12-112043-56.csv,success,0.01
dataset/feature_files,review_body-tfidf-df_90-ngram13-112043-56.csv,success,0.01
dataset/feature_files,review_body-bow-df_default-ngram1-112043-47308-lda20.csv,success,0.01
